Tweet,Date
Bottom-line: the lies from Tucker and others are radicalizing people across not just America but the world. And the lies are inspiring people to make threats of violence against lawmakers. Tucker & Co. know this. And that’s why they tell their lies. They want to incite the mob.,2021-12-30
"As public safety continues to deteriorate in Minneapolis after George Floyd insurrection, violence, robberies & shootings in downtown are becoming routine. @RebsBrannon captured the #Halloween-themed brawl featuring flying wigs & punches: https://x.com/RebsBrannon/status/1586702110678294533/video/1…",2022-11-01
"On January 6th, Marjorie Taylor Greene called for the execution of Nancy Pelosi, falsely alleging she'd committed treason.

That's felony libel.
And incitement to violence.
The mob chased Pelosi, while Boebert texted her location.
Later, a man attempted to murder her in her home.",2024-03-01
"Sayema, you need to realise that this tweet is a result of the conduct of Jihadans like u. Remember how you instigated a mob to gather outside police HQ during anti-CAA violence? Remember how you defended the Muslim mob that murdered the likes of Ankit Sharma? Sit the hell down.",2022-10-01
Mob justice in action. They immediately tried to kill that man.,2022-08-28
"Right to self defence n against trespassing  n mob violence n rioting... 
Even if police does not support the house pwner for him being a Muslim, during the legal procedure in court, nothing will happen. 
Police may harrass them gor a while. 
For which also, one can move court.",2024-10-16
So some mob violence can be justified.,2024-10-14
"Bahraich Violence
 Mob ransacks shops while marching towards violence site

#Bahraich #Bahraichnews #UttarPradesh",2024-10-14
"Two years ago today, Trump intended for his mob to storm the Capitol. He knew they were armed. He knew there would be violence. He watched the riot unfold for hours without lifting a finger. He egged them on. He showed no remorse. He knew what he was doing. He must be prosecuted.",2023-01-06
"I came out against trump in 2015.

For nearly a decade now I’ve had my former friends in the GOP excuse, then defend, then embrace, and then imitate him.

What elite Republicans fail to grasp, even today, is that the cruelty and violence Trump and his mob embrace will come for",2023-09-30
"Bahraich violence: Internet suspended; mob torches hospital, shops
https://hindustantimes.com/india-news/bahraich-violence-internet-suspended-after-mob-torches-hospital-shops-what-happened-in-uttar-pradesh-city-101728890622064.html… #BahraichViolence #BahraichPolice #bahraich #communalriots #roits #InternetShutDown #internetban #UttarPradesh #Hindu #Muslim #Islam #masjid #mosque @IndianExpress @IndiaToday @htTweets @AP",2024-10-14
"NEWS UPDATE 

Goons on motorbikes spotted on Valley Road near Integrity Centre, Nairobi CBD

Attacking pedestrians and motorists

TAKE CARE",2024-06-25
"Sensible people do care about a depraved culture where engaging in gratuitous mob violence is affirmed as an appropriate response to perceived grievances. We expressed those concerns long before ""January 6th"" became a Democratic Party holiday.   

Our objection is principally to",2024-10-17
"Sadly these incidents aren’t as rare as we’d like to believe. From Palghar lynching (2020) to the Jharkhand case (2019), mob violence has been happening across India. The silence from politicians only fuels suspicion, these issues are being ignored based on ideology n convenience",2024-10-16
"Another life lost to senseless mob violence.  Akash Maine was beaten to death in front of his family—his parents’ pleas ignored, his pregnant wife’s future shattered. How many more lives will be lost before strong action is taken?
Strong laws and police action needed @PMOIndia",2024-10-16
"Imagine a cartel leader, a mob boss, or anyone else doing this--especially when their comments have elicited actual violence in the past.",2023-07-21
"Tragic  

On a side note, there's only one profession which faces mob violence almost on a daily basis in India.

Doctors.",2024-10-16
"Fun facts: 

(A) calling for genocide against Jews, if not delivered to incite a mob to violence, is 100% Constitutionally protected speech- only in the sense it can't be punished by government.

(B) You are not the government, you are a cowardly college administrator and in no",2023-12-07
Mob Violence and Psychology (2006),2024-10-17
20 rounds of firing. Gopal Mishra killed. This is not mob violence. This is Terrorism.,2024-10-14
