Tweet,Date
"AUCTION :
Meet BlazePop, the flavor tornado of the Freezerverse! With a rainbow core, lemon frost, and chili pepper toppings, he’s a sweet and spicy explosion, daring anyone to take on his fiery fun!
https://nouns.build/dao/base/0x4faf3113D5030bA1e3B557a1E204c85EDF373373/72…",2024-10-17
"My video from that first attempt in 2014. 

Taken on my phone. Stay watching until the end to see how the force of the explosion knocks us down. 

We were too close. Or as they say in the rocket business “we were ‘Russian’ close” ",2024-02-21
"2nd May, 2010

Corporal Harvey Holmes, aged 22 from Hyde, Greater Manchester, and of 1st Battalion The Mercian Regiment, was killed in an explosion close to Patrol Base Waterloo, Sangin, Helmand Province, Afghanistan 

Lest we Forget this brave young man who gave his all  ",2024-05-01
"“Ukraine TRIGGERED THIS CONFLICT by sabotaging Nord Stream.”

First Russian invasion of Ukraine - Feb 2014
Full-scale Russian invasion - Feb 2022
Nord Stream explosion - Sep 2022

Just don’t speak on the conflict if you are this retarded. @Timcast",2024-08-25
Explosion at a plastic resin factory in Taiwan,2024-07-20
"Citizens are spreading dangerous misinformation on social media platforms, say journalists and governments. But inaccurate stories on the Gaza hospital explosion prove that the most dangerous misinformation comes not from citizens but from journalists who rely on governments.",2023-10-19
*Taps sign*,2024-10-08
"anyone excusing, or even celebrating, the pager explosion terror attack is so blinded by their sheer hatred of arabs and muslims that they don’t realize the precedent this sets. they’re testing all sorts of new ways to kill humans in gaza and lebanon so they can export it here.",2024-09-17
"Mass funerals held for over 150 killed in Nigeria fuel tanker explosion

Mass funerals are taking place in Nigeria for more than 150 people who died in a fuel tanker explosion, many killed as they tried to collect petrol that had spilled onto the road.",2024-10-17
"On July 10, 2014, four teenagers threw a large rock from an overpass above Interstate 80, that hit and seriously injured Sharon Budd. 

Her husband, Randy, who was sitting in the backseat of the car when the accident happened described the sound as ‘an explosion’ 

The rock",2024-03-16
